Protein_ID (FAMeDB)	Protein name (as in reference)	Protein description	Protein names (Uniprot)	Acc.No.	locus tag (alternative e.g. not in uniprot)	InterPro	InterPro description	EC number (eggNOG)	Ortholog_Cluster_(similarity_of_domain_composition)	KEGG_ko_kofam	KEGG_ko_koala	Organism	Organism (ID)	Taxonomic lineage (Ids)	References (DOI ID)
A0A1Y2APR1	BCR39DRAFT_486220	FAD-binding domain-containing protein (evidence limited to its presence in a gene cluster)	FAD-binding domain-containing protein	A0A1Y2APR1		IPR002938; IPR036188; IPR050493	FAD-binding domain; FAD/NAD(P)-binding domain superfamily; FAD-dependent Monooxygenases in Biosynthesis and Metabolism	1.14.13.1	12	N/A	N/A	Naematelia encephala	71784	131567, 2759, 33154, 4751, 451864, 5204, 5302, 155616, 5234, 1910785, 1910899	
A0A1Y2APP5	BCR39DRAFT_546366	Aldehyde/histidinol dehydrogenase (evidence limited to its presence in a gene cluster)	Aldehyde/histidinol dehydrogenase	A0A1Y2APP5		IPR016163; IPR015590; IPR016161; IPR029510; IPR016162; IPR050740	Aldehyde dehydrogenase, C-terminal; Aldehyde dehydrogenase domain; Aldehyde/histidinol dehydrogenase; Aldehyde dehydrogenase, glutamic acid active site; Aldehyde dehydrogenase, N-terminal; Aldehyde Dehydrogenase Superfamily	N/A	22	N/A	N/A	Naematelia encephala	71784	131567, 2759, 33154, 4751, 451864, 5204, 5302, 155616, 5234, 1910785, 1910899	
A0A084GG45	SAPIO_CDS0602	Lignostilbene dioxygenase (gentisate gene cluster)	Lignostilbene-alpha,beta-dioxygenase isozyme I (EC 1.13.11.43)	A0A084GG45		IPR004294	Carotenoid oxygenase	N/A	10	K28521	K28521	Scedosporium apiospermum (Pseudallescheria apiosperma)	563466	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 715989, 147550, 222543, 5592, 5593, 41687	
A0A084GG47	SAPIO_CDS0604	Monooxygenase (gentisate gene cluster)	9,9'-di-cis-zeta-carotene desaturase (EC 1.3.5.6, EC 1.4.3.2, EC 1.4.99.6)	A0A084GG47		IPR036188; IPR002938; IPR050493	FAD/NAD(P)-binding domain superfamily; FAD-binding domain; FAD-dependent Monooxygenases in Biosynthesis and Metabolism	1.14.13.1	12	N/A	N/A	Scedosporium apiospermum (Pseudallescheria apiosperma)	563466	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 715989, 147550, 222543, 5592, 5593, 41687	
G8BL02	MNX2	Salicylate 5-monooxygenase	FAD_binding_3 domain-containing protein	G8BL02	CPAR2_704320	IPR036188; IPR050493; IPR002938	FAD/NAD(P)-binding domain superfamily; FAD-dependent Monooxygenases in Biosynthesis and Metabolism; FAD-binding domain	1.14.13.1	12	N/A	N/A	Candida parapsilosis (strain CDC 317 / ATCC MYA-4646) (Yeast) (Monilia parapsilosis)	578454	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 3239874, 2916678, 766764, 1535325, 5475, 5480	
P10563	QutA	Positive regulator of the quinic acid utilization (qut) cluster 	Quinic acid utilization activator	P10563	AN1134	IPR052783; IPR036864; IPR001138; IPR007219	Transcriptional Regulator for Metabolic and Drug Resistance Pathways; Zn(2)-C6 fungal-type DNA-binding domain superfamily; Zn(2)Cys(6) fungal-type DNA-binding domain; Xylanolytic transcriptional activator, regulatory domain	N/A	72	N/A	N/A	Aspergillus nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	227321	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720870, 162425	
P25415	QutB	Quinate 5-dehydrogenase (EC 1.1.1.24)	Quinate dehydrogenase (EC 1.1.1.24)	P25415	AN1137	IPR022893; IPR036291; IPR013708; IPR046346	Shikimate dehydrogenase family; NAD(P)-binding domain superfamily; Shikimate dehydrogenase substrate binding, N-terminal; Aminoacid dehydrogenase-like, N-terminal domain superfamily	1.1.1.24	73	K09484	K09484	Aspergillus nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	227321	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720870, 162425	
Q5BE90	QutC	3-Dehydroshikimate dehydratase (EC 4.2.1.118)	Xylose isomerase-like TIM barrel domain-containing protein	Q5BE90	AN1140	IPR050312; IPR036237; IPR013022	IolE/XylA/MocC-like; Xylose isomerase-like superfamily; Xylose isomerase-like, TIM barrel domain	1.13.11.27	69	K26400	K26400	Aspergillus nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	227321	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 3239874, 2916678, 766764, 1535325, 5475, 5476	
P15325	QutD	Quinate permease (Quinate transporter)	Quinate permease (Quinate transporter)	P15325	AN1138	IPR005828; IPR005829; IPR050360; IPR020846; IPR003663; IPR036259	Major facilitator, sugar transporter-like; Sugar transporter, conserved site; Major Facilitator Superfamily Sugar Transporters; Major facilitator superfamily domain; Sugar/inositol transporter; MFS transporter superfamily	N/A	75	N/A	N/A	Aspergillus nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	227321	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720870, 162425	
P05147	QutE2	3-Dehydroquinate dehydratase, type II (EC 4.2.1.10)	Catabolic 3-dehydroquinase (cDHQase) (EC 4.2.1.10) (3-dehydroquinate dehydratase)	P05147	AN1135	IPR001874; IPR018509; IPR036441	Dehydroquinase, class II; Dehydroquinase, class II, conserved site; Dehydroquinase, class II superfamily	4.2.1.10	68	K03786	K03786	Aspergillus nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	227321	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720870, 162425	
P25416	QutG	Protein qutG	Protein qutG	P25416	AN1136	IPR020583; IPR020550; IPR000760; IPR033942	Inositol monophosphatase, metal-binding site; Inositol monophosphatase, conserved site; Inositol monophosphatase-like; Inositol monophosphatase	3.1.3.25	79	K01092	K01092	Aspergillus nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	227321	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720870, 162425	
G5EB60	QutH	Putative regulator of the quinic acid utilization (qut) gene cluster	Gfo/Idh/MocA-like oxidoreductase N-terminal domain-containing protein	G5EB60	AN1139	IPR051450; IPR000683; IPR036291; IPR004104	Gfo/Idh/MocA Oxidoreductases; Gfo/Idh/MocA-like oxidoreductase, N-terminal; NAD(P)-binding domain superfamily; Gfo/Idh/MocA-like oxidoreductase, C-terminal	1.1.1.18,1.1.1.369	52	N/A	N/A	Aspergillus nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	227321	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720870, 162425	
Q00784	QutR	Negative regulator of qut gene expression	Quinate repressor protein	Q00784	AN1132	IPR041121; IPR031322; IPR013708; IPR001381; IPR027417; IPR036291; IPR006151; IPR046346; IPR013785	SDH, C-terminal; Shikimate kinase/gluconokinase; Shikimate dehydrogenase substrate binding, N-terminal; 3-dehydroquinate dehydratase type I; P-loop containing nucleoside triphosphate hydrolase; NAD(P)-binding domain superfamily; Quinate/shikimate 5-dehydrogenase/glutamyl-tRNA reductase; Aminoacid dehydrogenase-like, N-terminal domain superfamily; Aldolase-type TIM barrel	N/A	74	N/A	N/A	Aspergillus nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	227321	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720870, 162425	
NRRL3_11037	DqdA	3-Dehydroquinate dehydratase, type II (EC 4.2.1.10)		N/A		IPR036441; IPR001874; IPR018509	Dehydroquinase, class II superfamily; Dehydroquinase, class II; Dehydroquinase, class II, conserved site	4.2.1.10	68	K03786	K03786	Aspergillus niger NRRL3	1451139	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871, 5061, 1451139	
NRRL3_11035	DsdA	3-Dehydroshikimate dehydratase (EC 4.2.1.118)		N/A		IPR050312; IPR013022; IPR036237	IolE/XylA/MocC-like; Xylose isomerase-like, TIM barrel domain; Xylose isomerase-like superfamily	1.13.11.27	69	K26400	K26400	Aspergillus niger NRRL3	1451139	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871, 5061, 1451139	
NRRL3_08520	QdhA	Quinate 5-dehydrogenase		N/A		IPR022893; IPR013708; IPR046346; IPR036291	Shikimate dehydrogenase family; Shikimate dehydrogenase substrate binding, N-terminal; Aminoacid dehydrogenase-like, N-terminal domain superfamily; NAD(P)-binding domain superfamily	1.1.1.24	73	K09484	K09484	Aspergillus niger NRRL3	1451139	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871, 5061, 1451139	
NRRL3_11036	QupA	Quinate permease (neutral pH)		N/A		IPR050360; IPR005829; IPR003663; IPR005828; IPR036259; IPR020846	Major Facilitator Superfamily Sugar Transporters; Sugar transporter, conserved site; Sugar/inositol transporter; Major facilitator, sugar transporter-like; MFS transporter superfamily; Major facilitator superfamily domain	N/A	75	K08139	N/A	Aspergillus niger NRRL3	1451139	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871, 5061, 1451139	
NRRL3_05631	QupB	Quinate permease (acidic pH)		N/A		IPR003663; IPR005829; IPR036259; IPR005828; IPR050360; IPR020846	Sugar/inositol transporter; Sugar transporter, conserved site; MFS transporter superfamily; Major facilitator, sugar transporter-like; Major Facilitator Superfamily Sugar Transporters; Major facilitator superfamily domain	N/A	75	N/A	N/A	Aspergillus niger NRRL3	1451139	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871, 5061, 1451139	
NRRL3_11038	QutR_Aspnig	Activator of the quinic acid utilization (qut) gene cluster		N/A		IPR007219; IPR001138; IPR052783; IPR036864	Xylanolytic transcriptional activator, regulatory domain; Zn(2)Cys(6) fungal-type DNA-binding domain; Transcriptional Regulator for Metabolic and Drug Resistance Pathways; Zn(2)-C6 fungal-type DNA-binding domain superfamily	N/A	72	N/A	N/A	Aspergillus niger NRRL3	1451139	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871, 5061, 1451139	
NRRL3_11039	QutX	Repressor		N/A		IPR001381; IPR041121; IPR046346; IPR013785; IPR036291; IPR006151; IPR031322; IPR027417; IPR013708	3-dehydroquinate dehydratase type I; SDH, C-terminal; Aminoacid dehydrogenase-like, N-terminal domain superfamily; Aldolase-type TIM barrel; NAD(P)-binding domain superfamily; Quinate/shikimate 5-dehydrogenase/glutamyl-tRNA reductase; Shikimate kinase/gluconokinase; P-loop containing nucleoside triphosphate hydrolase; Shikimate dehydrogenase substrate binding, N-terminal	N/A	74	N/A	N/A	Aspergillus niger NRRL3	1451139	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871, 5061, 1451139	
Q59Z17	DQD1	Catabolic 3-dehydroquinase (cDHQase) (EC 4.2.1.10) (3-dehydroquinate dehydratase)	Catabolic 3-dehydroquinase (cDHQase) (EC 4.2.1.10) (3-dehydroquinate dehydratase)	Q59Z17		IPR001874; IPR018509; IPR036441	Dehydroquinase, class II; Dehydroquinase, class II, conserved site; Dehydroquinase, class II superfamily	4.2.1.10	68	K03786	K03786	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	237561	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 3239874, 2916678, 766764, 1535325, 5475, 5476	
P11637	Qa-1s	Transcription factor qa-1s (Quinic acid degradation cluster protein 1s) (Quinic acid utilization repressor qa-1s)	Transcription factor qa-1s (Quinic acid degradation cluster protein 1s) (Quinic acid utilization repressor qa-1s)	P11637		IPR001381; IPR027417; IPR046346; IPR006151; IPR013708; IPR036291; IPR031322; IPR041121; IPR013785	3-dehydroquinate dehydratase type I; P-loop containing nucleoside triphosphate hydrolase; Aminoacid dehydrogenase-like, N-terminal domain superfamily; Quinate/shikimate 5-dehydrogenase/glutamyl-tRNA reductase; Shikimate dehydrogenase substrate binding, N-terminal; NAD(P)-binding domain superfamily; Shikimate kinase/gluconokinase; SDH, C-terminal; Aldolase-type TIM barrel	N/A	74	N/A	N/A	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	367110	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 715989, 147550, 222544, 5139, 5148, 5140, 5141	
P05195	Qa-2	Catabolic 3-dehydroquinase (cDHQase) (EC 4.2.1.10) (3-dehydroquinate dehydratase) (Quinic acid degradation cluster protein 2f)	Catabolic 3-dehydroquinase (cDHQase) (EC 4.2.1.10) (3-dehydroquinate dehydratase) (Quinic acid degradation cluster protein 2f)	P05195		IPR001874; IPR036441; IPR018509	Dehydroquinase, class II; Dehydroquinase, class II superfamily; Dehydroquinase, class II, conserved site	4.2.1.10	68	K03786	K03786	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	367110	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 715989, 147550, 222544, 5139, 5148, 5140, 5141	
P11635	Qa-3	Quinate dehydrogenase (EC 1.1.1.24) (Quinic acid degradation cluster protein 3)	Quinate dehydrogenase (EC 1.1.1.24) (Quinic acid degradation cluster protein 3)	P11635		IPR022893; IPR036291; IPR013708; IPR046346	Shikimate dehydrogenase family; NAD(P)-binding domain superfamily; Shikimate dehydrogenase substrate binding, N-terminal; Aminoacid dehydrogenase-like, N-terminal domain superfamily	1.1.1.24	73	K09484	K09484	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	367110	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 715989, 147550, 222544, 5139, 5148, 5140, 5141	
P07046	Qa-4	3-Dehydroshikimate dehydratase (EC 4.2.1.118)	3-dehydroshikimate dehydratase (DHS dehydratase) (DHSase) (EC 4.2.1.118) (Quinic acid degradation cluster protein 4)	P07046		IPR036237; IPR013022; IPR050312	Xylose isomerase-like superfamily; Xylose isomerase-like, TIM barrel domain; IolE/XylA/MocC-like	1.13.11.27	69	K26400	K26400	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	367110	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 715989, 147550, 222544, 5139, 5148, 5140, 5141	
Q4WYZ4	AFUA_3G14790	Pentafunctional AROM polypeptide, like (evidence limited to its presence in a gene cluster)	Pentafunctional AROM polypeptide, putative (EC 1.1.1.25)	Q4WYZ4	Afu3g14790	IPR010110; IPR036291; IPR046346; IPR013708; IPR006151; IPR022893; IPR041121	Shikimate dehydrogenase, AroM-type; NAD(P)-binding domain superfamily; Aminoacid dehydrogenase-like, N-terminal domain superfamily; Shikimate dehydrogenase substrate binding, N-terminal; Quinate/shikimate 5-dehydrogenase/glutamyl-tRNA reductase; Shikimate dehydrogenase family; SDH, C-terminal	1.1.1.25,2.5.1.19,2.7.1.71,4.2.1.10,4.2.3.4	102	N/A	N/A	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720872, 746128	
Q4WYZ6	AFUA_3G14800	Shikimate 5-dehydrogenase (qutB like) (evidence limited to its presence in a gene cluster)	Shikimate 5-dehydrogenase, putative (EC 1.1.1.25)	Q4WYZ6	Afu3g14800	IPR036291; IPR022893; IPR046346; IPR013708	NAD(P)-binding domain superfamily; Shikimate dehydrogenase family; Aminoacid dehydrogenase-like, N-terminal domain superfamily; Shikimate dehydrogenase substrate binding, N-terminal	1.1.1.24	73	N/A	N/A	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720872, 746128	
Q4WYZ7	AFUA_3G14810	Dihydroxybenzoate descarboxylase, putative (evidence limited to its presence in a gene cluster)	Pathogenesis associated protein Pep2, putative	Q4WYZ7	Afu3g14810	IPR032710; IPR037401	NTF2-like domain superfamily; SnoaL-like domain	N/A	1	N/A	N/A	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720872, 746128	
Q4WYZ8	AFUA_3G14820	3-Dehydroshikimate dehydratase (EC 4.2.1.118)(evidence limited to its presence in a gene cluster)	4-hydroxyphenylpyruvate dioxygenase, putative (EC 4.2.1.-)	Q4WYZ8	Afu3g14820	IPR013022; IPR050312; IPR036237	Xylose isomerase-like, TIM barrel domain; IolE/XylA/MocC-like; Xylose isomerase-like superfamily	1.13.11.27	69	K26400	K26400	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720872, 746128	
Q4WYZ9	AFUA_3G14830	Pentafunctional AROM polypeptide (qutR like) (evidence limited to its presence in a gene cluster)	Pentafunctional AROM polypeptide, putative (EC 1.1.1.25)	Q4WYZ9	Afu3g14830	IPR027417; IPR013785; IPR022893; IPR031322; IPR036291; IPR041121; IPR006151; IPR013708; IPR001381; IPR046346	P-loop containing nucleoside triphosphate hydrolase; Aldolase-type TIM barrel; Shikimate dehydrogenase family; Shikimate kinase/gluconokinase; NAD(P)-binding domain superfamily; SDH, C-terminal; Quinate/shikimate 5-dehydrogenase/glutamyl-tRNA reductase; Shikimate dehydrogenase substrate binding, N-terminal; 3-dehydroquinate dehydratase type I; Aminoacid dehydrogenase-like, N-terminal domain superfamily	N/A	74	N/A	N/A	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720872, 746128	
Q4WZ00	AFUA_3G14840	C6 transcription factor (qutA like) (evidence limited to its presence in a gene cluster)	C6 transcription factor, putative	Q4WZ00	Afu3g14840	IPR036864; IPR001138; IPR007219; IPR052783	Zn(2)-C6 fungal-type DNA-binding domain superfamily; Zn(2)Cys(6) fungal-type DNA-binding domain; Xylanolytic transcriptional activator, regulatory domain; Transcriptional Regulator for Metabolic and Drug Resistance Pathways	N/A	72	N/A	N/A	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720872, 746128	
Q4WZ01	QutE2_Aspfu	3-Dehydroquinate dehydratase, type II (EC 4.2.1.10)	Catabolic 3-dehydroquinase 2 (cDHQase 2) (EC 4.2.1.10) (3-dehydroquinate dehydratase 2)	Q4WZ01	Afu3g14850	IPR001874; IPR018509; IPR036441	Dehydroquinase, class II; Dehydroquinase, class II, conserved site; Dehydroquinase, class II superfamily	4.2.1.10	68	K03786	K03786	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720872, 746128	
A2RAL4	BglA	Tannase / beta-glucosidase	Probable beta-glucosidase A (EC 3.2.1.21) (Beta-D-glucoside glucohydrolase A) (Cellobiase A) (Gentiobiase A)	A2RAL4		IPR036962; IPR013783; IPR050288; IPR002772; IPR026891; IPR001764; IPR036881; IPR017853; IPR019800	Glycoside hydrolase, family 3, N-terminal domain superfamily; Immunoglobulin-like fold; Cellulose-degrading glycosyl hydrolase 3; Glycoside hydrolase family 3 C-terminal domain; Fibronectin type III-like domain; Glycoside hydrolase, family 3, N-terminal; Glycoside hydrolase family 3 C-terminal domain superfamily; Glycoside hydrolase superfamily; Glycoside hydrolase, family 3, active site	3.2.1.21	34	K05349	K05349	Aspergillus niger (strain ATCC MYA-4892 / CBS 513.88 / FGSC A1513)	425011	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871, 5061	
NRRL3_08275	TanR	Repressor of the tannic acid transcriptional activator-repressor module		N/A		IPR001138; IPR036864; IPR007219; IPR052783	Zn(2)Cys(6) fungal-type DNA-binding domain; Zn(2)-C6 fungal-type DNA-binding domain superfamily; Xylanolytic transcriptional activator, regulatory domain; Transcriptional Regulator for Metabolic and Drug Resistance Pathways	N/A	72	N/A	N/A	Aspergillus niger NRRL3	1451139	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871, 5061, 1451139	
NRRL3_08276	TanX	Activator of the tannic acid transcriptional activator-repressor module		N/A		IPR027417; IPR036291; IPR001381; IPR013785; IPR046346; IPR013708; IPR031322; IPR006151	P-loop containing nucleoside triphosphate hydrolase; NAD(P)-binding domain superfamily; 3-dehydroquinate dehydratase type I; Aldolase-type TIM barrel; Aminoacid dehydrogenase-like, N-terminal domain superfamily; Shikimate dehydrogenase substrate binding, N-terminal; Shikimate kinase/gluconokinase; Quinate/shikimate 5-dehydrogenase/glutamyl-tRNA reductase	N/A	74	N/A	N/A	Aspergillus niger NRRL3	1451139	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871, 5061, 1451139	
Q2UII1	AO090023000047	Tannase	Carboxylic ester hydrolase (EC 3.1.1.-)	Q2UII1		IPR011118; IPR029058	Tannase/feruloyl esterase; Alpha/Beta hydrolase fold	3.1.1.20	37	K10759	K10759	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	510516	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871, 5062	
P78581	AO090103000074	Tannase (EC 3.1.1.20)	Tannase (EC 3.1.1.20) [Cleaved into: Tannase 33 kDa subunit; Tannase 30 kDa subunit]	P78581		IPR011118; IPR029058	Tannase/feruloyl esterase; Alpha/Beta hydrolase fold	3.1.1.20	37	K10759	K10759	Aspergillus oryzae (strain ATCC 42149 / RIB 40) (Yellow koji mold)	510516	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871, 5062	
A0A060TAG5	AgDC1	Gallate decarboxylase	ARAD1C45716p (Gallate decarboxylase)	A0A060TAG5		IPR037401; IPR032710	SnoaL-like domain; NTF2-like domain superfamily	N/A	1	N/A	N/A	Blastobotrys adeninivorans (Yeast) (Arxula adeninivorans)	409370	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147537, 3239873, 3243772, 410830, 43971	
C7FF04	AbTyr	Polyphenol oxidase 3 (PPO3) (Phenolase 3) (EC 1.14.18.1) (Cresolase) (Tyrosinase 3)	Polyphenol oxidase 3 (PPO3) (Phenolase 3) (EC 1.14.18.1) (Cresolase) (Tyrosinase 3)	C7FF04		IPR002227; IPR050316; IPR008922; IPR041640	Tyrosinase copper-binding domain; Tyrosinase and Hemocyanin; Di-copper centre-containing domain superfamily; Tyrosinase, C-terminal	1.14.18.1	26	K00505	K00505	Agaricus bisporus (White button mushroom)	5341	131567, 2759, 33154, 4751, 451864, 5204, 5302, 155619, 452333, 5338, 2982305, 5339, 5340	
P87064	DodA	DOPA 4,5-dioxygenase (EC 1.14.99.-)	DOPA 4,5-dioxygenase (EC 1.14.99.-)	P87064		IPR014980; IPR023389	Dopa 4,5-dioxygenase; DOPA-like superfamily	N/A	94	K10253	K10253	Amanita muscaria (Fly agaric) (Agaricus muscarius)	41956	131567, 2759, 33154, 4751, 451864, 5204, 5302, 155619, 452333, 5338, 2982306, 41954, 41955	
A0A455LLW0	AtnJ	FAD-dependent monooxygenase atnJ (EC 1.-.-.-) (Arthripenoid biosynthesis cluster protein J)	FAD-dependent monooxygenase atnJ (EC 1.-.-.-) (Arthripenoid biosynthesis cluster protein J)	A0A455LLW0		IPR050493; IPR036188; IPR002938	FAD-dependent Monooxygenases in Biosynthesis and Metabolism; FAD/NAD(P)-binding domain superfamily; FAD-binding domain	1.14.13.1	12	N/A	N/A	Arthrinium sp	1756131	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 715989, 147550, 222545, 3402561, 106263, 112177, 2643771	
Q50EL0	FgaPT2	Aromatic prenyltransferase	Tryptophan dimethylallyltransferase (EC 2.5.1.34) (4-dimethylallyltryptophan synthase) (All-trans-hexaprenyl-diphosphate synthase) (L-tryptophan dimethylallyl transferase) (DMATS)	Q50EL0		IPR017796; IPR033964; IPR012148; IPR017795	Tryptophan dimethylallyltransferase; Aromatic prenyltransferase; Aromatic prenyltransferase DMATS-type, fungi; Aromatic prenyltransferase, NscD-like	2.5.1.100,2.5.1.106,2.5.1.110,2.5.1.34,2.5.1.80	112	K14130; K15392	K14130	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293) (Neosartorya fumigata)	330879	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720872, 746128	
P0DUM0	Hkm12	Phenylalanine ammonia-lyase hkm12 (PAL) (EC 4.3.1.24) (Hancockiamides biosynthesis cluster protein 12)	Phenylalanine ammonia-lyase hkm12 (PAL) (EC 4.3.1.24) (Hancockiamides biosynthesis cluster protein 12)	P0DUM0		IPR022313; IPR001106; IPR024083; IPR023144; IPR005922; IPR008948	Phenylalanine/histidine ammonia-lyases, active site; Aromatic amino acid lyase; Fumarase/histidase, N-terminal; Phenylalanine ammonia-lyase, shielding domain superfamily; Phenylalanine ammonia-lyase; L-Aspartase-like	4.3.1.24	29	K10775	K10775	Aspergillus hancockii	1873369	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871	
P0DUL2	Hkm4	Dioxygenase hkm4 (EC 1.14.11.-) (Hancockiamides biosynthesis cluster protein 4)	Dioxygenase hkm4 (EC 1.14.11.-) (Hancockiamides biosynthesis cluster protein 4)	P0DUL2		IPR008775	Phytanoyl-CoA dioxygenase-like	1.14.11.38	70	N/A	K17825	Aspergillus hancockii	1873369	131567, 2759, 33154, 4751, 451864, 4890, 716545, 147538, 716546, 147545, 451871, 5042, 1131492, 5052, 2720871	
